entity_name,name_variants,total_units,brands_operated,brand_count,is_multi_brand,primary_state,all_states,state_count,restaurant_phone,sample_address,apollo_company,apollo_email,apollo_linkedin,apollo_title,ny_match_count,ny_first_result_name,ny_entity_number,ny_status,ny_entity_type,ny_formation_date,ny_jurisdiction,ny_agent_name,ny_agent_type,ny_agent_is_individual,ny_agent_address,ny_principal_address,ny_mailing_address,ny_statement_due_date,ny_inactive_date,ny_agent_address_matches_principal,ny_likely_owner_name,ny_operator_pattern,ny_multi_entity_operator,ny_query_used,ny_query_attempts,ny_name_similarity,ny_score,ny_alternates,ny_fetched_at,ny_error,ny_county,ny_ceo_name,ny_ceo_address,ny_dos_process_name,ny_location_address
"Kotes Of Hudson, Llc",,2,KFC,1,No,NY,NY,1,917/566-1748,426 Foxhall Avenue,,,,,1,KOTES OF HUDSON LLC,7731632,Active,DOMESTIC LIMITED LIABILITY COMPANY,10/10/2025,New York,KOTES OF HUDSON LLC,,False,NEW YORK,"2116 MERRICK AVENUE, SUITE 3002, MERRICK, NY, 11566",,,,False,,service_agent,False,"Kotes Of Hudson, Llc","Kotes Of Hudson, Llc",1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Ulster,,,KOTES OF HUDSON LLC,
"White, David R.",,2,KFC,1,No,NY,NY,1,518/452-5757,371 S. Main St,,,,,0,,,,,,,,,,,,,,,,,,,"White, David R.","White, David R.",,,,2026-05-06T18:37:24.445397+00:00,,,,,,
"Kotes Management, Llc",,2,KFC,1,No,NY,NY,1,917/566-1748,1229 Nepperhan Avenue,,,,,1,KOTES MANAGEMENT LLC,4495313,Active,DOMESTIC LIMITED LIABILITY COMPANY,12/03/2013,New York,KOTES MANAGEMENT LLC,,False,"2166 Merrick Avenue, Suite 3002, Merrick, NY, 11566","2166 Merrick Avenue, Suite 3002, Merrick, NY, 11566",,,,True,,service_agent,True,"Kotes Management, Llc","Kotes Management, Llc",1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Queens,,,KOTES MANAGEMENT LLC,
1866-0001,1866-0001 / 1866-0002,2,Little Caesars,1,No,NEW YORK,NEW YORK,1,,218-14 HEMPSTEAD AVE,,,,,0,,,,,,,,,,,,,,,,,,,1866-0001,1866-0001,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Joseph Guerriera,,2,McDonald's,1,No,NY,NY,1,718-585-8368,85 BRUCKNER BLVD,,,,,0,,,,,,,,,,,,,,,,,,,Joseph Guerriera,Joseph Guerriera,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Diane P Bustos,,2,McDonald's,1,No,NY,NY,1,716-656-7846,2567 UNION RD,,,,,0,,,,,,,,,,,,,,,,,,,Diane P Bustos,Diane P Bustos,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Janis Kemmerer,,2,McDonald's,1,No,NY,NY,1,315-637-9050,400 TOWNE DRIVE,,,,,0,,,,,,,,,,,,,,,,,,,Janis Kemmerer,Janis Kemmerer,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Giovanna Solimeo,,2,McDonald's,1,No,NY,NY,1,718-939-1881,40-18 MAIN STREET,,,,,0,,,,,,,,,,,,,,,,,,,Giovanna Solimeo,Giovanna Solimeo,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Joe Ferrino,,2,McDonald's,1,No,NY,NY,1,585-243-0509,4162 LAKEVILLE RD,,,,,0,,,,,,,,,,,,,,,,,,,Joe Ferrino,Joe Ferrino,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Maria J Sullivan,,2,McDonald's,1,No,NY,NY,1,718-343-5367,256-03 UNION TURNPIKE,,,,,0,,,,,,,,,,,,,,,,,,,Maria J Sullivan,Maria J Sullivan,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Roderick Miller,,2,McDonald's,1,No,NY,NY,1,585-392-3535,140 SOUTH AVE,,,,,0,,,,,,,,,,,,,,,,,,,Roderick Miller,Roderick Miller,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Steven Frazier,,2,McDonald's,1,No,NY,NY,1,516-876-0140,105 JERICHO TPKE,,,,,0,,,,,,,,,,,,,,,,,,,Steven Frazier,Steven Frazier,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Peter Rotolo,,2,McDonald's,1,No,NY,NY,1,516-248-8402,60 JERICHO TPKE,,,,,0,,,,,,,,,,,,,,,,,,,Peter Rotolo,Peter Rotolo,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Renee Reardon,,2,McDonald's,1,No,NY,NY,1,518-793-9446,819 RTE 9,,,,,0,,,,,,,,,,,,,,,,,,,Renee Reardon,Renee Reardon,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Davis Jean-Louis,,2,McDonald's,1,No,NY,NY,1,585-288-1182,820 CULVER RD,,,,,0,,,,,,,,,,,,,,,,,,,Davis Jean-Louis,Davis Jean-Louis,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Joseph Liegeois,,2,McDonald's,1,No,NY,NY,1,585-473-7966,1422-32 MOUNT HOPE AVE,,,,,0,,,,,,,,,,,,,,,,,,,Joseph Liegeois,Joseph Liegeois,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Hector Urena,,2,McDonald's,1,No,NY,NY,1,585-734-2948,,,,,,0,,,,,,,,,,,,,,,,,,,Hector Urena,Hector Urena,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Mps Pizza Llc,,2,Pizza Hut,1,No,NY,NY,1,516/935-3100,1 Newbridge Road,,,,,1,MPS PIZZA LLC,4220915,Active,DOMESTIC LIMITED LIABILITY COMPANY,03/23/2012,New York,C/O MOHINDER P. SINGH,Individual,True,"100 North Broadway, Hicksville, NY, 11801","100 North Broadway, Hicksville, NY, 11801",,,,True,C/O MOHINDER P. SINGH,owner_operator,False,Mps Pizza Llc,Mps Pizza Llc,1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Nassau,,,C/O MOHINDER P. SINGH,
City Pizza Development Llc,,2,Pizza Hut,1,No,NY,NY,1,646/532-6486,264 West 23rd Street,,,,,1,CITY PIZZA LLC,2809327,Active,DOMESTIC LIMITED LIABILITY COMPANY,09/09/2002,New York,CITY PIZZA LLC,,False,"1370 RIVER FRONT CENTER, AMSTERDAM, NY, 12010","1370 RIVER FRONT CENTER, AMSTERDAM, NY, 12010",,,,True,,service_agent,False,city pizza,city pizza,0.667,166.67,,2026-05-06T18:37:24.445397+00:00,,Montgomery,,,CITY PIZZA LLC,
64Th Street Food & Drink Brooklyn Inc.,64Th Street Food & Drink Brooklyn Inc. / 86Th Street Food & Drink Brooklyn Inc.,2,Popeyes,1,No,NY,NY,1,(347) 799-2449,6013 7th Ave,,,,,1,64TH STREET FOOD & DRINK BROOKLYN INC.,3675085,Active,DOMESTIC BUSINESS CORPORATION,05/22/2008,New York,64TH STREET FOOD & DRINK BROOKLYN INC.,,False,"6013 7TH AVE, BROOKLYN, NY, 11220","6013 7TH AVE, BROOKLYN, NY, 11220",,,,True,WUN MON ENG (RAYMOND),owner_operator,False,64Th Street Food & Drink Brooklyn Inc.,64Th Street Food & Drink Brooklyn Inc. | 64th street,1.000,200.00,"[{""name"": ""64TH STREET, LLC"", ""num"": ""2236147"", ""score"": 133.33}]",2026-05-06T18:37:24.445397+00:00,,Kings,WUN MON ENG (RAYMOND),"WUN MON ENG (RAYMOND), BROOKLYN, NY, 11220",64TH STREET FOOD & DRINK BROOKLYN INC.,
9400 Liberty Chicken Llc,"9400 Liberty Chicken Llc / Liberty Chicken, Inc.",2,Popeyes,1,No,NY,NY,1,(917) 694-0144,16525 Liberty Ave,,,,,1,9400 LIBERTY CHICKEN LLC,5594092,Active,DOMESTIC LIMITED LIABILITY COMPANY,07/26/2019,New York,NAFEES BUKHARI,Individual,True,"9400 LIBERTY AVE, OZONE PARK, NY, 11417","9400 LIBERTY AVE, OZONE PARK, NY, 11417",,,,True,NAFEES BUKHARI,owner_operator,True,9400 Liberty Chicken Llc,9400 Liberty Chicken Llc,1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Queens,,,NAFEES BUKHARI,
221 Chicken Corp.,121 Chicken Corp / 221 Chicken Corp.,2,Popeyes,1,No,NY,NY,1,(631) 225-3100,121 West Montauk Highway,,,,,1,221 CHICKEN CORP.,5185420,Active,DOMESTIC BUSINESS CORPORATION,08/11/2017,New York,221 CHICKEN CORP.,,False,"983 Willis Ave, Albertson, NY, 11507","983 Willis Ave, Albertson, NY, 11507",,,,True,,service_agent,True,221 Chicken Corp.,221 Chicken Corp.,1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Queens,,,221 CHICKEN CORP.,
2557 Richmond Chicken Llc,2557 Richmond Chicken Llc / 2655 Richmond Chicken Llc,2,Popeyes,1,No,NY,NY,1,929-256-1620,2557 Richmond Ave,,,,,1,2557 RICHMOND CHICKEN LLC,6484959,Active,DOMESTIC LIMITED LIABILITY COMPANY,05/13/2022,New York,ATHER  MALIK,Individual,True,"120 WINDSOR CENTER DRIVE, 2nd FLOOR, EAST WINDSOR, NJ, 08520","120 WINDSOR CENTER DRIVE, 2nd FLOOR, EAST WINDSOR, NJ, 08520",,,,True,ATHER  MALIK,owner_operator,True,2557 Richmond Chicken Llc,2557 Richmond Chicken Llc,1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Richmond,,,ATHER  MALIK,
"2363 Forest Chicken, Llc.","2363 Forest Chicken, Llc. / Forest Chicken, Llc",2,Popeyes,1,No,NY,NY,1,(718) 720-1545,1351 Forest Ave,,,,,1,2363 FOREST CHICKEN LLC,5499520,Active,DOMESTIC LIMITED LIABILITY COMPANY,02/22/2019,New York,AYDA A DURRANI,Individual,True,"2323 Forest Avenue, Staten Island, NY, 10303","2323 Forest Avenue, Staten Island, NY, 10303",,,,True,AYDA A DURRANI,owner_operator,False,"2363 Forest Chicken, Llc.","2363 Forest Chicken, Llc.",1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Richmond,,,AYDA A DURRANI,
Hylan Blvd Chicken Llc,Hylan Blvd Chicken Llc / Hylan Chicken Llc,2,Popeyes,1,No,NY,NY,1,929-378-4511,1388 Hylan Blvd,,,,,1,HYLAN BLVD CHICKEN LLC,6484961,Active,DOMESTIC LIMITED LIABILITY COMPANY,05/13/2022,New York,ATHER  MALIK,Individual,True,"120 WINDSOR CENTER DRIVE, 2nd FLOOR, EAST WINDSOR, NJ, 08520","120 WINDSOR CENTER DRIVE, 2nd FLOOR, EAST WINDSOR, NJ, 08520",,,,True,ATHER  MALIK,owner_operator,True,Hylan Blvd Chicken Llc,Hylan Blvd Chicken Llc,1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Richmond,,,ATHER  MALIK,
"42Nd Apple, Llc",,1,Applebee's,1,No,NY,NY,1,(212) 391-7414,234 W. 42nd St.,,,,,1,"42ND APPLE, LLC",2393955,Active,DOMESTIC LIMITED LIABILITY COMPANY,06/30/1999,New York,NORTHWEST REGISTERED AGENT LLC,,False,"418 BROADWAY, STE N, ALBANY, NY, 12207","418 BROADWAY, STE N, ALBANY, NY, 12207",,,,True,,service_agent,True,"42Nd Apple, Llc","42Nd Apple, Llc",1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Westchester,,,NORTHWEST REGISTERED AGENT LLC,
"S.I. Mall Apple, Llc",,1,Applebee's,1,No,NY,NY,1,(718) 370-3761,2655 Richmond Avenue,,,,,1,"S.I. MALL APPLE, L.L.C.",1823680,Active,DOMESTIC LIMITED LIABILITY COMPANY,05/25/1994,New York,"C/O APPLE METRO, INC.",,False,"ATT: PRESIDENT, 550 MAMARONECK AVE., HARRISON, NY, 10528","ATT: PRESIDENT, 550 MAMARONECK AVE., HARRISON, NY, 10528",,,,True,,service_agent,False,"S.I. Mall Apple, Llc","S.I. Mall Apple, Llc",1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Richmond,,,"C/O APPLE METRO, INC.",
United One Group Llc,,1,Bojangles,1,No,NY,NY,1,(347) 533-7800,106 Primrose Drive,,,,,1,UNITED ONE GROUP LLC,6372365,Active,DOMESTIC LIMITED LIABILITY COMPANY,01/11/2022,New York,MANJIT SINGH,Individual,True,"106 PRIMROSE DR, NEW HYDE PARK, NY, 11040","106 PRIMROSE DR, NEW HYDE PARK, NY, 11040",,,,True,MANJIT SINGH,owner_operator,False,United One Group Llc,United One Group Llc | united one,1.000,200.00,"[{""name"": ""UNITED ONE LLC"", ""num"": ""3864378"", ""score"": 166.67}]",2026-05-06T18:37:24.445397+00:00,,Nassau,,,MANJIT SINGH,
"Ssp America, Inc.",,1,Buffalo Wild Wings,1,No,NY,NY,1,718-751-4769,"JFK International Terminal 4, Room 471.005",,,,,1,"SSP AMERICA, INC.",2343867,Active,FOREIGN BUSINESS CORPORATION,02/09/1999,California,C T CORPORATION SYSTEM,,False,"28 LIBERTY ST., NEW YORK, NEW YORK, 10005","28 LIBERTY STREET, NEW YORK, NY, 10005",,,,True,MICHAEL SVAGDIS,out_of_state_holdco,True,"Ssp America, Inc.","Ssp America, Inc.",1.000,170.00,,2026-05-06T18:37:24.445397+00:00,,Queens,MICHAEL SVAGDIS,"MICHAEL SVAGDIS, SUITE 300, ASHBURN, VA, 20147","SSP AMERICA, INC.",
"Pb Wings, Llc",,1,Buffalo Wild Wings,1,No,NY,NY,1,518-310-3536,200 Consumer Square Mall,,,,,1,PB WINGS LLC,4085628,Active,DOMESTIC LIMITED LIABILITY COMPANY,04/25/2011,New York,PAUL FRANK + COLLINS P.C.,Individual,True,"ATN: CHRISTOPHER J. LEFF, ESQ., ONE CHURCH STREET, PO BOX 1307, BURLINGTON, VT, 05402","ATN: CHRISTOPHER J. LEFF, ESQ., ONE CHURCH STREET, PO BOX 1307, BURLINGTON, VT, 05402",,,,True,PAUL FRANK + COLLINS P.C.,owner_operator,False,"Pb Wings, Llc","Pb Wings, Llc",1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Clinton,,,PAUL FRANK + COLLINS P.C.,
"Banta Nine Malls, Llc",,1,Buffalo Wild Wings,1,No,NY,NY,1,845-218-9453,1794 South Road,,,,,0,,,,,,,,,,,,,,,,,,,"Banta Nine Malls, Llc","Banta Nine Malls, Llc",,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Ydk Wings Llc,,1,Buffalo Wild Wings,1,No,NY,NY,1,518-934-5855,2276 31st Street,,,,,1,YDK WINGS LLC,7251983,Active,DOMESTIC LIMITED LIABILITY COMPANY,02/12/2024,New York,THE LIMITED LIABILITY COMPANY,,False,"35-30 36th Street, Astoria, NY, 11106","35-30 36th Street, Astoria, NY, 11106",,,,True,,service_agent,False,Ydk Wings Llc,Ydk Wings Llc,1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Queens,,,THE LIMITED LIABILITY COMPANY,
Vaishav Dev Two Llc,,1,Buffalo Wild Wings,1,No,NY,NY,1,929-833-1530,8925 Ave. D,,,,,1,VAISHAV DEV TWO LLC,7528551,Active,DOMESTIC LIMITED LIABILITY COMPANY,02/06/2025,New York,NISHIT PATEL,Individual,True,"862 REMSEN AVE, UNIT B, BROOKLYN, NEW YORK, 11236","862 REMSEN AVE, UNIT B, BROOKLYN, NY, 11236",,,,True,NISHIT PATEL,owner_operator,True,Vaishav Dev Two Llc,Vaishav Dev Two Llc,1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Kings,,,NISHIT PATEL,
207 Ram Hanuman Llc,,1,Buffalo Wild Wings,1,No,NY,NY,1,929-610-6775,1623 Flatbush Avenue,,,,,1,207 RAM HANUMAN LLC,6836594,Active,DOMESTIC LIMITED LIABILITY COMPANY,05/17/2023,New York,Nishit Patel,Individual,True,"121-17 Liberty Ave, South Richmond Hill, NEW YORK, 11419","121-17 Liberty Ave, South Richmond Hill, NY, 11419",,,,True,Nishit Patel,owner_operator,True,207 Ram Hanuman Llc,207 Ram Hanuman Llc,1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Queens,,,NISHIT PATEL,
"Woodcliff Wings, Inc.",,1,Buffalo Wild Wings,1,No,NY,NY,1,315-362-5857,8063 Brewerton Road,,,,,1,"WOODCLIFF WINGS, INC.",6795798,Active,DOMESTIC BUSINESS CORPORATION,04/11/2023,New York,C/O GARTH LOFBERG,Individual,True,"P.O. Box 249, Clayton, NY, 13624","P.O. Box 249, Clayton, NY, 13624",,,,True,C/O GARTH LOFBERG,owner_operator,True,"Woodcliff Wings, Inc.","Woodcliff Wings, Inc.",1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Jefferson,,,C/O GARTH LOFBERG,
"Drum Wings, Inc",,1,Buffalo Wild Wings,1,No,NY,NY,1,559-218-5838,26000 US-11,,,,,1,"DRUM WINGS, INC.",7334445,Active,DOMESTIC BUSINESS CORPORATION,05/22/2024,New York,c/o Garth Lofberg,Individual,True,"P.O. Box 249, Clayton, NY, 13624","P.O. Box 249, Clayton, NY, 13624",,,,True,c/o Garth Lofberg,owner_operator,True,"Drum Wings, Inc","Drum Wings, Inc",1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Jefferson,,,c/o Garth Lofberg,
"Kwality Wings, Inc.",,1,Buffalo Wild Wings,1,No,NY,NY,1,718-475-6548,79-23 Main Street,,,,,1,KWALITY WINGS INC.,6565720,Active,DOMESTIC BUSINESS CORPORATION,08/18/2022,New York,NEERAJ AHLUWALIA,Individual,True,"5034 175th St, Fresh Meadows, NY, 11365","5034 175th St, Fresh Meadows, NY, 11365",,,,True,NEERAJ AHLUWALIA,owner_operator,True,"Kwality Wings, Inc.","Kwality Wings, Inc.",1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Queens,,,NEERAJ AHLUWALIA,
Wingtopia Llc,,1,Buffalo Wild Wings,1,No,NY,NY,1,(718)303-2501,179-19 Hillside Avenue,,,,,1,WINGTOPIA LLC,6997547,Active,DOMESTIC LIMITED LIABILITY COMPANY,08/07/2023,New York,NEERAJ AHLUWALIA,Individual,True,"5034 175th st, Fresh Meadows, NY, 11365","5034 175th st, Fresh Meadows, NY, 11365",,,,True,NEERAJ AHLUWALIA,owner_operator,True,Wingtopia Llc,Wingtopia Llc,1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Queens,,,NEERAJ AHLUWALIA,
Nhp Wings Llc,,1,Buffalo Wild Wings,1,No,NY,NY,1,718-289-4804,271-20 Union Turnpike,,,,,1,NHP WINGS LLC,7245439,Active,DOMESTIC LIMITED LIABILITY COMPANY,02/03/2024,New York,Neeraj Ahluwalia,Individual,True,"5034 175th st, Fresh Meadows, NEW YORK, 11365","5034 175th st, Fresh Meadows, NY, 11365",,,,True,Neeraj Ahluwalia,owner_operator,True,Nhp Wings Llc,Nhp Wings Llc,1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Queens,,,Neeraj Ahluwalia,
"Blaze Wings, Llc",,1,Buffalo Wild Wings,1,No,NY,NY,1,718-674-1171,114-14C Sutphin Blvd,,,,,1,BLAZE WINGS LLC,7537529,Active,DOMESTIC LIMITED LIABILITY COMPANY,02/18/2025,New York,Neeraj Ahluwalia,Individual,True,"5034 175th st, Fresh Meadows, NEW YORK, 11365","5034 175th st, Fresh Meadows, NY, 11365",,,,True,Neeraj Ahluwalia,owner_operator,True,"Blaze Wings, Llc","Blaze Wings, Llc",1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Queens,,,Neeraj Ahluwalia,
Sauce Wings Llc,,1,Buffalo Wild Wings,1,No,NY,NY,1,718-841-6585,179-01 Union Turnpike,,,,,1,SAUCE WINGS LLC,6943444,Active,DOMESTIC LIMITED LIABILITY COMPANY,07/23/2023,New York,Neeraj Ahluwalia,Individual,True,"5034 175th st, Fresh Meadows, NY, 11365","5034 175th st, Fresh Meadows, NY, 11365",,,,True,Neeraj Ahluwalia,owner_operator,True,Sauce Wings Llc,Sauce Wings Llc,1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Queens,,,Neeraj Ahluwalia,
Sunandan Mitra,,1,Buffalo Wild Wings,1,No,NY,NY,1,332-330-6352,2907 Broadway,,,,,0,,,,,,,,,,,,,,,,,,,Sunandan Mitra,Sunandan Mitra,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Legacy Wings (Westside),,1,Buffalo Wild Wings,1,No,NY,NY,1,(516) 603-7234,1385 Metropolitan Avenue,,,,,1,LEGACY WINGS LLC,6616829,Active,DOMESTIC LIMITED LIABILITY COMPANY,10/17/2022,New York,LEGACY WINGS LLC,,False,"240 West 40th Street, New York, NY, 10018","240 West 40th Street, New York, NY, 10018",,,,True,,service_agent,True,Legacy Wings (Westside),Legacy Wings (Westside),1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,New York,,,LEGACY WINGS LLC,
"Wood, Greg",,1,Buffalo Wild Wings,1,No,NY,NY,1,(315) 276-9413,1111 Champlain Street,,,,,0,,,,,,,,,,,,,,,,,,,"Wood, Greg","Wood, Greg",,,,2026-05-06T18:37:24.445397+00:00,,,,,,
"Brattner, Shawn",,1,Buffalo Wild Wings,1,No,NY,NY,1,(914) 260-9922,1831 Main St,,,,,0,,,,,,,,,,,,,,,,,,,"Brattner, Shawn","Brattner, Shawn",,,,2026-05-06T18:37:24.445397+00:00,,,,,,
"Shah, Rushit",,1,Buffalo Wild Wings,1,No,NY,NY,1,(732) 397-1515,1924 Monroe Ave,,,,,0,,,,,,,,,,,,,,,,,,,"Shah, Rushit","Shah, Rushit",,,,2026-05-06T18:37:24.445397+00:00,,,,,,
"Airmont Rest Ny, Llc",,1,Burger King,1,No,NY,NY,1,(845) 547-2888,260 Route 59,,,,,1,"AIRMONT REST NY, LLC",5053260,Active,DOMESTIC LIMITED LIABILITY COMPANY,12/15/2016,New York,"AIRMONT REST NY, LLC",,False,"3840 PARK AVE., SUITE B-104, EDISON, NJ, 08820","3840 PARK AVE., SUITE B-104, EDISON, NJ, 08820",,,,True,,service_agent,True,"Airmont Rest Ny, Llc","Airmont Rest Ny, Llc",1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Rockland,,,"AIRMONT REST NY, LLC",
"Astoria Burgers Co., Inc.",,1,Burger King,1,No,NY,NY,1,(718) 626-5632,3310 Astoria Blvd,,,,,1,"ASTORIA BURGERS CO., INC.",2030652,Active,DOMESTIC BUSINESS CORPORATION,05/16/1996,New York,C/O CREATIVE FOODS CORP.,,False,"200 GARDEN CITY PLAZA, #105, GARDEN CITY, NY, 11530","200 GARDEN CITY PLAZA, #105, GARDEN CITY, NY, 11530",,,,True,JAY DELLA MONICA,owner_operator,True,"Astoria Burgers Co., Inc.","Astoria Burgers Co., Inc.",1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Nassau,JAY DELLA MONICA,"JAY DELLA MONICA, #105, GARDEN CITY, NY, 11530",C/O CREATIVE FOODS CORP.,
Jsc Attica Llc,,1,Burger King,1,No,NY,NY,1,(585) 505-8812,130 Prospect St,,,,,1,"JSC ATTICA, LLC",5392501,Active,DOMESTIC LIMITED LIABILITY COMPANY,08/13/2018,New York,"JSC ATTICA, LLC",,False,"PO BOX 217, LYNDONVILLE, NY, 14098","PO BOX 217, LYNDONVILLE, NY, 14098",,,,True,,service_agent,True,Jsc Attica Llc,Jsc Attica Llc,1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Ontario,,,"JSC ATTICA, LLC",
"Your Burgers, Inc",,1,Burger King,1,No,NY,NY,1,(929) 344-5520,222-10 Northern Blvd,,,,,1,"YOUR BURGERS, INC.",413027,Active,DOMESTIC BUSINESS CORPORATION,10/21/1976,New York,C/O CREATIVE FOODS CORP.,,False,"200 GARDEN CITY PLAZA, SUITE 505, GARDEN CITY, NY, 11530","200 GARDEN CITY PLAZA, SUITE 505, GARDEN CITY, NY, 11530",,,,True,JAY DELLA MONICA,owner_operator,True,"Your Burgers, Inc","Your Burgers, Inc",1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Queens,JAY DELLA MONICA,"JAY DELLA MONICA, #105, GARDEN CITY, NY, 11530",C/O CREATIVE FOODS CORP.,
Brennan,,1,Burger King,1,No,NY,NY,1,(845) 278-2502,Lakeview Plaza,,,,,0,,,,,,,,,,,,,,,,,,,Brennan,Brennan,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Elmhurst Burgers Co. Inc,,1,Burger King,1,No,NY,NY,1,(718) 515-8738,3500 Boston Rd,,,,,1,"ELMHURST BURGERS CO., INC.",504739,Active,DOMESTIC BUSINESS CORPORATION,08/07/1978,New York,C/O CREATIVE FOODS CORP.,,False,"200 GARDEN CITY PLAZA, #105, GARDEN CITY, NY, 11530","200 GARDEN CITY PLAZA, #105, GARDEN CITY, NY, 11530",,,,True,JAY DELLA MONICA,owner_operator,True,Elmhurst Burgers Co. Inc,Elmhurst Burgers Co. Inc,1.000,200.00,,2026-05-06T18:37:24.458504+00:00,,New York,JAY DELLA MONICA,"JAY DELLA MONICA, #105, GARDEN CITY, NY, 11530",C/O CREATIVE FOODS CORP.,
"3440 Jerome Avenue Operating, Llc",,1,Burger King,1,No,NY,NY,1,(347) 275-1292,3440 Jerome Ave,,,,,1,"3440 JEROME AVENUE OPERATING, LLC",4953674,Active,DOMESTIC LIMITED LIABILITY COMPANY,05/26/2016,New York,3440 JEROME AVENUE OPERATING LLC,,False,"4280 HYLAN BOULEVARD, STATEN ISLAND, NY, 10312","4280 HYLAN BOULEVARD, STATEN ISLAND, NY, 10312",,,,True,,service_agent,True,"3440 Jerome Avenue Operating, Llc","3440 Jerome Avenue Operating, Llc | 3440 jerome avenue",1.000,200.00,"[{""name"": ""3440 JEROME AVENUE, INC."", ""num"": ""1859753"", ""score"": 175.0}]",2026-05-06T18:37:24.458504+00:00,,Richmond,,,3440 JEROME AVENUE OPERATING LLC,
"Bronx Pelham Foods, Inc.",,1,Burger King,1,No,NY,NY,1,(718) 409-5164,3261 Westchester Ave,,,,,1,BRONX PELHAM FOODS INC,5343264,Active,DOMESTIC BUSINESS CORPORATION,05/17/2018,New York,SRINIVASA RAO TUMMALAPENTA,Individual,True,"490 ACKERSON AVE, WYCKOFF, NJ, 07481","490 ACKERSON AVE, WYCKOFF, NJ, 07481",,,,True,SRINIVASA RAO TUMMALAPENTA,owner_operator,True,"Bronx Pelham Foods, Inc.","Bronx Pelham Foods, Inc.",1.000,200.00,,2026-05-06T18:37:24.458504+00:00,,Bronx,,,SRINIVASA RAO TUMMALAPENTA,
961 Food Corp.,,1,Burger King,1,No,NY,NY,1,(917) 471-9425,961 E 174th St,,,,,1,961 FOOD CORP.,4737095,Active,DOMESTIC BUSINESS CORPORATION,04/03/2015,New York,961 FOOD CORP.,,False,"252-25 Union TPKE, Bellerose, NY, 11426","252-25 Union TPKE, Bellerose, NY, 11426",,,,True,PARGET SINGH,owner_operator,True,961 Food Corp.,961 Food Corp.,1.000,200.00,,2026-05-06T18:37:24.458504+00:00,,New York,PARGET SINGH,"PARGET SINGH, NEW HYDE PARK, NY, 11040",961 FOOD CORP.,
971 Flatbush Avenue Operating Corp.,,1,Burger King,1,No,NY,NY,1,(718) 284-3397,971 Flatbush Ave,,,,,1,971 FLATBUSH AVENUE OPERATING CORP.,3210258,Active,DOMESTIC BUSINESS CORPORATION,05/25/2005,New York,971 FLATBUSH AVENUE OPERATING CORP.,,False,"4280 Hylan Blvd, Staten Island, NY, 10312","4280 Hylan Blvd, Staten Island, NY, 10312",,,,True,JAVAID S SYED,owner_operator,True,971 Flatbush Avenue Operating Corp.,971 Flatbush Avenue Operating Corp.,1.000,200.00,,2026-05-06T18:37:24.459716+00:00,,Kings,JAVAID S SYED,"JAVAID S SYED, STATEN ISLAND, NY, 10312",971 FLATBUSH AVENUE OPERATING CORP.,
