franchisee_name,name_variants,first_name,total_units,brands_operated,brand_count,is_multi_brand,primary_state,all_states,tier,instantly_sequence,messaging_note,apollo_search_hint,apollo_company,apollo_email,apollo_linkedin,apollo_title,restaurant_phone,sample_address,entity_type,classification_method,search_target
Dharod,,Dharod,51,Burger King,1,No,KS,IL | KS | MO,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Dharod Burger King franchisee KS,,,,,(618) 887-0700,5979 Belleville Crossing St,person,ai,Dharod
"Tri City Foods Of Minnesota, Llc",,Tri,51,Burger King,1,No,MN,MN,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Tri City Foods Of Minnesota, Llc Burger King franchisee MN",,,,,(507) 373-3365,2011 E Main St,company,regex,"Tri City Foods Of Minnesota, Llc"
"Vitaligent-Norcal, Llc",,"Vitaligent-Norcal,",51,Jamba,1,No,CALIFORNIA,CALIFORNIA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Vitaligent-Norcal, Llc Jamba franchisee CALIFORNIA",,,,,916.722.1232,"7903 Walerga Rd., #102",company,regex,"Vitaligent-Norcal, Llc"
"Quantum Restaurants, Llc",,Quantum,51,Little Caesars,1,No,GEORGIA,FLORIDA | GEORGIA | SOUTH CAROLINA | TENNESSEE,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Quantum Restaurants, Llc Little Caesars franchisee GEORGIA",,,,,(772) 778-7717,755 27TH AVENUE SW,company,regex,"Quantum Restaurants, Llc"
Adrian T Smith,,Adrian,51,McDonald's,1,No,NC,NC | SC | VA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Adrian T Smith McDonald's franchisee NC,,,,,336-227-3646,1829 N CHURCH ST,person,regex,Adrian T Smith
"Southern Pacpizza, Llc","Pacpizza, Llc / Southern Pacpizza, Llc",Southern,51,Pizza Hut,1,No,CA,CA | NV | OR,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Southern Pacpizza, Llc Pizza Hut franchisee CA",,,,,760/240-6181,20811 Bear Valley Rd Ste C,company,regex,"Southern Pacpizza, Llc"
Quality Huts Midwest Llc,,Quality,51,Pizza Hut,1,No,IL,IL | IN,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Quality Huts Midwest Llc Pizza Hut franchisee IL,,,,,630/543-1155,32 W Lake St,company,regex,Quality Huts Midwest Llc
Tasty Hut Of Va Llc,,Tasty,51,Pizza Hut,1,No,VA,VA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Tasty Hut Of Va Llc Pizza Hut franchisee VA,,,,,276/300-2020,121 Cook St,company,regex,Tasty Hut Of Va Llc
"Northeast Foods, Llc",,Northeast,50,Burger King,1,No,MA,MA | NH,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Northeast Foods, Llc Burger King franchisee MA",,,,,(617) 783-0106,210 Brighton Ave,company,regex,"Northeast Foods, Llc"
"Hamilton, Bryan S",,"Hamilton,",50,Domino's,1,No,TN,TN | VA | WV,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Hamilton, Bryan S Domino's franchisee TN",,,,,(423) 465-4001,102 Newport Town Center,person,ai,Bryan S Hamilton
Hut Little Rock Llc,,Hut,50,Pizza Hut,1,No,AR,AR | LA | MS | OK,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Hut Little Rock Llc Pizza Hut franchisee AR,,,,,870/246-5895,112 WP Malone Road,company,regex,Hut Little Rock Llc
"Joarder, Mohammed Shamsuzzaman",,"Joarder,",49,Domino's,1,No,NJ,NJ | PA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Joarder, Mohammed Shamsuzzaman Domino's franchisee NJ",,,,,(609) 757-1000,6002 Main Street,person,ai,Mohammed Shamsuzzaman Joarder
"Gh Food Group Colorado, Llc","Gh Food Group 2, Llc / Gh Food Group Colorado, Llc / Gh Food Group Tx, Llc / Gh Food Group, Llc",Gh,49,Jimmy John's,1,No,CO,AZ | CO | OK | TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Gh Food Group Colorado, Llc Jimmy John's franchisee CO",,,,,928-774-6200,1020 S Milton Rd,company,regex,"Gh Food Group Colorado, Llc"
Apple Minnesota Llc,,Apple,48,Applebee's,1,No,MN,MN | WI,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Apple Minnesota Llc Applebee's franchisee MN,,,,,(218) 833-1400,15240 Dellwood,company,regex,Apple Minnesota Llc
Switchgrass - Vi - Llc,"Switchgrass - Vi - Llc / Switchgrass-I, Llc / Switchgrass-Ii, Llc / Switchgrass-Iii, Llc / Switchgrass-Iv, Llc / Switchgrass-V, Llc",Switchgrass,48,Burger King,1,No,OK,OK,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Switchgrass - Vi - Llc Burger King franchisee OK,,,,,(918) 335-1380,3801 S E Adams Rd,company,regex,Switchgrass - Vi - Llc
Tohme Brothers Xxxviii Llc,"Thome Brothers Xxii Llc / Thome Brothers Xxiii Llc / Tohme Brothers / Tohme Brothers Ii, Llc / Tohme Brothers Iii, Llc / Tohme Brothers Iv, Llc / Tohme Brothers Ix, Llc / Tohme Brothers Li Llc / Tohme Brothers Lii Llc / Tohme Brothers Liii Llc / Tohme Brothers Liv Llc / Tohme Brothers V, Llc / Tohme Brothers Vii, Llc / Tohme Brothers Viii, Llc / Tohme Brothers X, Llc / Tohme Brothers Xii, Llc / Tohme Brothers Xiv, Llc / Tohme Brothers Xl Llc / Tohme Brothers Xli Llc / Tohme Brothers Xlii Llc / Tohme Brothers Xliii Llc / Tohme Brothers Xliv Llc / Tohme Brothers Xlix Llc / Tohme Brothers Xlvi Llc / Tohme Brothers Xlvii Llc / Tohme Brothers Xlviii Llc / Tohme Brothers Xv, Llc / Tohme Brothers Xvi, Llc / Tohme Brothers Xvii, Llc / Tohme Brothers Xviii, Llc / Tohme Brothers Xx, Llc / Tohme Brothers Xxi, Llc / Tohme Brothers Xxiv Llc / Tohme Brothers Xxix Llc / Tohme Brothers Xxv Llc / Tohme Brothers Xxvi Llc / Tohme Brothers Xxvii Llc / Tohme Brothers Xxviii Llc / Tohme Brothers Xxx Llc / Tohme Brothers Xxxi Llc / Tohme Brothers Xxxii Llc / Tohme Brothers Xxxiii Llc / Tohme Brothers Xxxix Llc / Tohme Brothers Xxxv Llc / Tohme Brothers Xxxvi Llc / Tohme Brothers Xxxvii Llc / Tohme Brothers Xxxviii Llc / Tohme Brothers, Llc",Tohme,48,Jimmy John's,1,No,MI,MI,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Tohme Brothers Xxxviii Llc Jimmy John's franchisee MI,,,,,313-982-9240,3420 Fairlane Dr,company,regex,Tohme Brothers Xxxviii Llc
Goat Pizza Midwest Llc,,Goat,48,Pizza Hut,1,No,OH,IN | KY | OH,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Goat Pizza Midwest Llc Pizza Hut franchisee OH,,,,,812/897-8700,813 West Main St.,company,regex,Goat Pizza Midwest Llc
"Orcutt, Michael L.",,"Orcutt,",47,Domino's,1,No,GA,AL | GA | SC,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Orcutt, Michael L. Domino's franchisee GA",,,,,(334) 732-0202,1413C Hwy. 280 BYP,person,ai,Michael L. Orcutt
"G.F. Vasey Holdings, Llc (Greg Vasey And Jack Goehring)","G.F. Vasey Holdings, Llc (Greg Vasey And Jack Goehring) / Hyde Park Burgers, Llc (Greg Vasey And Jack Goehring)",Greg,47,Five Guys,1,No,MA,CO | MA | ME | RI | VT,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Greg Vasey And Jack Goehring Five Guys franchisee MA,,,,,303-440-3780,1855 29th St.,company_with_owner,regex,Greg Vasey And Jack Goehring
Charles Dion Conn,,Charles,47,McDonald's,1,No,WI,WI,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Charles Dion Conn McDonald's franchisee WI,,,,,262-662-3288,S71W23460 NATIONAL AVE,person,regex,Charles Dion Conn
Potomac Family Dining Group Operating Company Llc,,Potomac,46,Applebee's,1,No,VA,MD | NC | PA | VA | WV,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Potomac Family Dining Group Operating Company Llc Applebee's franchisee VA,,,,,(301) 663-6057,5613 Spectrum Drive,company,regex,Potomac Family Dining Group Operating Company Llc
"Tice Chicken Fl, Llc",,Tice,46,Popeyes,1,No,FL,FL,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Tice Chicken Fl, Llc Popeyes franchisee FL",,,,,(863) 967-4819,602 Havendale Blvd,company,regex,"Tice Chicken Fl, Llc"
"Kraf, Inc.",,"Kraf,",45,Burger King,1,No,AZ,AZ,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Kraf, Inc. Burger King franchisee AZ",,,,,(520) 432-3007,1121 S Naco Hwy,company,regex,"Kraf, Inc."
"Longen, Jerry A.",,"Longen,",45,Domino's,1,No,FL,AL | FL | GA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Longen, Jerry A. Domino's franchisee FL",,,,,(334) 793-4062,2924 Ross Clark Circle,person,ai,Jerry A. Longen
"Erwin, Allan F.",,"Erwin,",45,Domino's,1,No,ID,ID | MT | ND | SD | WI | WY,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Erwin, Allan F. Domino's franchisee ID",,,,,(208) 343-5995,2273 S. Vista Avenue,person,ai,Allan F. Erwin
Opportunity Pancakes 4 Llc,Opportunity Pancakes 2 Llc / Opportunity Pancakes 3 Llc / Opportunity Pancakes 4 Llc / Opportunity Pancakes 5 Llc / Opportunity Pancakes Llc,Opportunity,45,IHOP,1,No,NY,DE | NJ | NY | PA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Opportunity Pancakes 4 Llc IHOP franchisee NY,,,,,(302) 427-3860,"2001 Concord Pike, Suite 102",company,regex,Opportunity Pancakes 4 Llc
"West Quality Food Service, Inc.",,West,45,KFC,1,No,MS,AL | LA | MS | TN,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","West Quality Food Service, Inc. KFC franchisee MS",,,,,601/649-2522,241 Cox Creek Parkway,company,regex,"West Quality Food Service, Inc."
Thomas Garrett,,Thomas,45,Pizza Hut,1,No,GA,AL | GA | TN,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Thomas Garrett Pizza Hut franchisee GA,,,,,770/933-5023,2109 Quintard Avenue,person,regex,Thomas Garrett
"Stp Jj Team I, Llc",,Stp,44,Jimmy John's,1,No,MN,MN,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Stp Jj Team I, Llc Jimmy John's franchisee MN",,,,,952-236-8900,14875 Florence Trail,company,regex,"Stp Jj Team I, Llc"
"Bulldog Restaurants, Llc",,Bulldog,43,Burger King,1,No,AL,AL,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Bulldog Restaurants, Llc Burger King franchisee AL",,,,,(205) 620-0120,681 1st St South West,company,regex,"Bulldog Restaurants, Llc"
Adt Texas Llc,,Adt,43,Pizza Hut,1,No,TX,TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Adt Texas Llc Pizza Hut franchisee TX,,,,,432/837-5819,2300 Hwy 90 East,company,regex,Adt Texas Llc
"Sbg Apple Central Xiv, Llc","Apple Central Kc, Llc / Apple Central, Llc / Sbg Apple Central Xiv, Llc",Sbg,42,Applebee's,1,No,MO,AR | IL | IN | KS | KY | MO,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Sbg Apple Central Xiv, Llc Applebee's franchisee MO",,,,,(479) 936-8989,528 N 47th Street,company,regex,"Sbg Apple Central Xiv, Llc"
"Northwest Georgia Foods, Inc.","Georgia Foods, Llc / Northwest Georgia Foods, Inc.",Northwest,42,Bojangles,1,No,GA,GA | NC | SC | VA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Northwest Georgia Foods, Inc. Bojangles franchisee GA",,,,,706-850-0316,3210 Lexington Road,company,regex,"Northwest Georgia Foods, Inc."
"Peterson, Wayne A.",,"Peterson,",42,Domino's,1,No,MN,IA | MN | NE | WI,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Peterson, Wayne A. Domino's franchisee MN",,,,,(515) 292-3030,122 Hayward,person,ai,Wayne A. Peterson
"Short, Christopher J.",,"Short,",42,Domino's,1,No,OH,KY | OH,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Short, Christopher J. Domino's franchisee OH",,,,,(606) 365-1818,22 Frontier Blvd.,person,ai,Christopher J. Short
"Baretz, Douglas W.","Baretz, Douglas W. / Bartez, Douglas W.","Baretz,",42,Domino's,1,No,WI,WI,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Baretz, Douglas W. Domino's franchisee WI",,,,,(608) 465-6650,611 Hometown Circle Suite 102,person,ai,Douglas W. Baretz
Craig T Welburn,Craig B Welburn / Craig T Welburn,Craig,42,McDonald's,1,No,VA,DC | DE | VA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Craig T Welburn McDonald's franchisee VA,,,,,202-387-2111,2328 GEORGIA AVE NW,person,regex,Craig T Welburn
"Tall Timbers Pizza Hut, Inc.",,Tall,42,Pizza Hut,1,No,TX,TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Tall Timbers Pizza Hut, Inc. Pizza Hut franchisee TX",,,,,940/455-2020,7040 Justin Road,company,regex,"Tall Timbers Pizza Hut, Inc."
Hut Central Virginia Llc,,Hut,42,Pizza Hut,1,No,VA,VA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Hut Central Virginia Llc Pizza Hut franchisee VA,,,,,434/369-0111,"105 Clarion Rd., Suite C",company,regex,Hut Central Virginia Llc
"Janjer Enterprises, Inc.",,Janjer,42,Popeyes,1,No,MD,MD | VA | WV,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Janjer Enterprises, Inc. Popeyes franchisee MD",,,,,(301) 434-1450,9147 Riggs Rd,company,regex,"Janjer Enterprises, Inc."
Apple Socal Ii Llc,Apple Socal Ii Llc / Apple Socal Llc,Apple,41,Applebee's,1,No,CA,CA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Apple Socal Ii Llc Applebee's franchisee CA,,,,,(805) 445-7160,291 W. Ventura Blvd,company,regex,Apple Socal Ii Llc
"Barnett Restaurants - Flagstaff, Llc","Barnett / Barnett Jacobs Enterprises, Llc / Barnett Jacobs Restaurants Llc / Barnett Jacobs Yuma, Llc / Barnett Krispin 83Rd, Llc / Barnett Krispin Ii, Llc / Barnett Restaurants - Flagstaff, Llc",Barnett,41,Burger King,1,No,AZ,AZ,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Barnett Restaurants - Flagstaff, Llc Burger King franchisee AZ",,,,,(623) 230-2851,9920 W Van Buren,company,regex,"Barnett Restaurants - Flagstaff, Llc"
"Tapia, Fernando",,"Tapia,",41,Domino's,1,No,CA,CA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Tapia, Fernando Domino's franchisee CA",,,,,(760) 200-0802,"77-920 Country Club Drive, Suite 6-6",person,ai,Fernando Tapia
"Stephenson, Gerald K.",,"Stephenson,",41,Domino's,1,No,PA,NJ | PA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Stephenson, Gerald K. Domino's franchisee PA",,,,,(908) 689-2200,16 West Washington Avenue,person,ai,Gerald K. Stephenson
"Riddle, Charles M.",,"Riddle,",41,Domino's,1,No,UT,NV | UT | WY,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Riddle, Charles M. Domino's franchisee UT",,,,,(775) 625-3300,"1038 Grass Valley Rd., Suite J",person,ai,Charles M. Riddle
"Gerety, Cassie",,"Gerety,",41,Domino's,1,No,TX,TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Gerety, Cassie Domino's franchisee TX",,,,,(806) 792-3030,4921 34th St. C,person,ai,Cassie Gerety
Hut Mobile Llc,,Hut,41,Pizza Hut,1,No,AL,AL | LA | MS,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Hut Mobile Llc Pizza Hut franchisee AL,,,,,251/937-6714,604 McMeans Ave,company,regex,Hut Mobile Llc
Hut Memphis Llc,,Hut,41,Pizza Hut,1,No,TN,AR | MS | TN,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Hut Memphis Llc Pizza Hut franchisee TN,,,,,870/994-7304,#142 Hwy 62/412,company,regex,Hut Memphis Llc
Hut Rocky Mountain Llc,,Hut,41,Pizza Hut,1,No,CO,CO,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Hut Rocky Mountain Llc Pizza Hut franchisee CO,,,,,303/424-0710,8990 Ralston Rd,company,regex,Hut Rocky Mountain Llc
Las Vegas Pizza Llc,,Las,41,Pizza Hut,1,No,NV,NV,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Las Vegas Pizza Llc Pizza Hut franchisee NV,,,,,702/407-0912,10525 S Eastern Ave. #130,company,regex,Las Vegas Pizza Llc
A.A.F.E.S.,,A.A.F.E.S.,41,Popeyes,1,No,GA,AK | AL | AZ | CA | FL | GA | GU | HI | ID | KS | KY | NM | NV | NY | OK | TX | VA | WA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",A.A.F.E.S. Popeyes franchisee GA,,,,,(907) 753-4422,(Military Post Access Required) 5800 Westover Ave,company,ai,A.A.F.E.S.
"Gps Hospitality Partners Ii, Llc",,Gps,40,Burger King,1,No,PA,MD | NJ | PA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Gps Hospitality Partners Ii, Llc Burger King franchisee PA",,,,,(301) 298-8395,1290 Industrial Blvd,company,regex,"Gps Hospitality Partners Ii, Llc"
"Funky Chicken - Hamilton Mills, Llc","Funky Chicken - Alpharetta, Llc / Funky Chicken - Buford Dr, Llc / Funky Chicken - Dallas, Llc / Funky Chicken - Elijay Llc / Funky Chicken - Hamilton Mills, Llc / Funky Chicken - Hickory Flat, Llc / Funky Chicken - Kennesaw, Llc / Funky Chicken - Lawrenceville, Llc / Funky Chicken - Suwanee, Llc / Funky Chicken Ii, Llc / Funky Chicken Iii, Llc / Funky Chicken, Llc / Funky Chicken-Jonsboro Llc",Funky,40,Popeyes,1,No,GA,GA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Funky Chicken - Hamilton Mills, Llc Popeyes franchisee GA",,,,,(678) 402-6237,3462 Baker Road,company,regex,"Funky Chicken - Hamilton Mills, Llc"
Apple Washington Ii Llc,Apple Washington Ii Llc / Apple Washington Llc,Apple,39,Applebee's,1,No,WA,WA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Apple Washington Ii Llc Applebee's franchisee WA,,,,,(360) 414-8989,400 Triangle Center,company,regex,Apple Washington Ii Llc
Kohler/Kohler,,Kohler/Kohler,39,Burger King,1,No,MA,MA | ME | NH,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Kohler/Kohler Burger King franchisee MA,,,,,(978) 927-3714,Route 128 N Service Area,company,ai,Kohler/Kohler
"Tri City Foods Of Nebraska, Llc",,Tri,39,Burger King,1,No,NE,NE,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Tri City Foods Of Nebraska, Llc Burger King franchisee NE",,,,,(402) 292-1338,1400 Galvin Rd South,company,regex,"Tri City Foods Of Nebraska, Llc"
Smith Dairy Queens Ltd,,Smith,39,Dairy Queen,1,No,TX,TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Smith Dairy Queens Ltd Dairy Queen franchisee TX,,,,,5123213945,112 Highway 71 W,company,regex,Smith Dairy Queens Ltd
"Five Star North America Rights, Lp (Blair Walker)","Five Star Burgers Oregon, Llc (Blair Walker) / Five Star Burgers Washington, Llc (Blair Walker) / Five Star North America Rights, Lp (Blair Walker)",Blair,39,Five Guys,1,No,ON,AB | ON | OR | SK | WA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Blair Walker Five Guys franchisee ON,,,,,503-430-8748,2606 SW Cedar Hills Blvd.,company_with_owner,regex,Blair Walker
"Romulus Restaurants, L.L.C.",,Romulus,39,IHOP,1,No,AZ,AZ,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Romulus Restaurants, L.L.C. IHOP franchisee AZ",,,,,(520) 377-0500,1671 N Industrial Park Dr,company,regex,"Romulus Restaurants, L.L.C."
Tony E Gilley,,Tony,39,McDonald's,1,No,LA,AR | LA | TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Tony E Gilley McDonald's franchisee LA,,,,,870-364-9600,105 UNITY ROAD,person,regex,Tony E Gilley
Jsc New England Operating Llc,,Jsc,38,Burger King,1,No,RI,CT | MA | RI,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Jsc New England Operating Llc Burger King franchisee RI,,,,,(860) 422-4157,19 Granby St,company,regex,Jsc New England Operating Llc
"Iqbal, Ali Hassan",,"Iqbal,",38,Domino's,1,No,CA,CA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Iqbal, Ali Hassan Domino's franchisee CA",,,,,(415) 776-0400,728 Geary St.,person,ai,Ali Hassan Iqbal
