franchisee_name,name_variants,first_name,total_units,brands_operated,brand_count,is_multi_brand,primary_state,all_states,tier,instantly_sequence,messaging_note,apollo_search_hint,apollo_company,apollo_email,apollo_linkedin,apollo_title,restaurant_phone,sample_address
"Loehr, Michael Anthony",,"Loehr,",10,Domino's,1,No,OK,OK | TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Loehr, Michael Anthony Domino's franchisee OK",,,,,(580) 255-2555,806 North Highway 81
"Poe, Dennis",,"Poe,",10,Domino's,1,No,OR,OR,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Poe, Dennis Domino's franchisee OR",,,,,(541) 296-7000,804 E. 2nd St.
"Gran, Tyler",,"Gran,",10,Domino's,1,No,PA,PA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Gran, Tyler Domino's franchisee PA",,,,,(215) 331-8000,8914-54 Frankford Avenue
"Murgas, Antonio C.",,"Murgas,",10,Domino's,1,No,TN,TN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Murgas, Antonio C. Domino's franchisee TN",,,,,(615) 619-3333,"116 Ren Mar Drive, Suite 100"
"See, Kevin P.",,"See,",10,Domino's,1,No,TX,TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"See, Kevin P. Domino's franchisee TX",,,,,(469) 481-6520,"1061 North Coleman Street, Suite 155"
"Luttrell, Christopher Scott",,"Luttrell,",10,Domino's,1,No,TX,TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Luttrell, Christopher Scott Domino's franchisee TX",,,,,(682) 200-6636,311 South FM Rd. 1187 Suite 300
"Barrett, Zachary D.",,"Barrett,",10,Domino's,1,No,VA,VA | WV,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Barrett, Zachary D. Domino's franchisee VA",,,,,(540) 724-6500,115 Mall Rd
Canadian Guys Burgers Limited (Joseph Dand And Mike Lipinski),"Canadian Guys Burgers Limited (Joseph Dand And Mike Lipinski) / Canadian Guys Burgers Limited (Joseph Dand, Mike Lipinski)",Joseph,10,Five Guys,1,No,CA,CA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Joseph Dand And Mike Lipinski Five Guys franchisee CA,,,,,951-679-7111,2690 Tuscany St.
"Krnblz, Llc (Robert Picerne, Joseph Carroll)","Krnblz, Llc (Joseph Carroll) / Krnblz, Llc (Robert Picerne, Joseph Carroll)",Robert,10,Five Guys,1,No,OH,KY | OH,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Robert Picerne, Joseph Carroll Five Guys franchisee OH",,,,,859-279-3533,"The Mall, 7668 Mall Rd."
"Slo Life Company, Llc",,Slo,10,Jamba,1,No,CALIFORNIA,CALIFORNIA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Slo Life Company, Llc Jamba franchisee CALIFORNIA",,,,,805.481.8930,926 Rancho Pkwy
"Cottage Grove Lunch Money, Llc","Anoka Lunch Money Llc / Bemidji Lunch Money Llc / Campus Lunch Money Llc / Cottage Grove Lunch Money, Llc / Grand Rapids Lunch Money Llc / Lunch Money, Inc. / Monticello Lunch Money, Llc / Plymouth Lunch Money Llc / Stinson Lunch Money Llc / Zimmerman Lunch Money Llc",Cottage,10,Jimmy John's,1,No,MN,MN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Cottage Grove Lunch Money, Llc Jimmy John's franchisee MN",,,,,763-297-5515,600 Green Haven Parkway
"Miklin Enterprises, Inc.",,Miklin,10,Jimmy John's,1,No,MN,MN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Miklin Enterprises, Inc. Jimmy John's franchisee MN",,,,,612-331-7827,219 Oak St SE
"Jak Subs, Llc",,Jak,10,Jimmy John's,1,No,TN,TN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Jak Subs, Llc Jimmy John's franchisee TN",,,,,423-803-1000,7407 Igou Gap Rd
"Csw Group Viii, Llc","Csw Group Ii, Llc / Csw Group Iii, Llc / Csw Group Iv, Llc / Csw Group Ix, Llc / Csw Group V, Llc / Csw Group Vi, Llc / Csw Group Vii, Llc / Csw Group Viii, Llc / Csw Group X, Llc / Csw Group, Llc",Csw,10,Jimmy John's,1,No,WI,WI,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Csw Group Viii, Llc Jimmy John's franchisee WI",,,,,262-780-9555,15500 W Greenfield Ave
Qsr Se Llc,,Qsr,10,KFC,1,No,AL,AL | FL | GA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Qsr Se Llc KFC franchisee AL,,,,,919/225-5363,109 N.E. Ross Clark Circle
"Kentucky Fried Chicken Of Polly'S, Inc.",,Kentucky,10,KFC,1,No,CA,CA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Kentucky Fried Chicken Of Polly'S, Inc. KFC franchisee CA",,,,,714/459-0041,5735 Florence
E.A.P. Management Corp.,,E.A.P.,10,KFC,1,No,FL,FL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,E.A.P. Management Corp. KFC franchisee FL,,,,,954/920-1802,1969 W. County Road 48
Inman & Mary Sue Hodges Ltd Partnership,,Inman,10,KFC,1,No,GA,GA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Inman & Mary Sue Hodges Ltd Partnership KFC franchisee GA,,,,,912/764-9991,400 Warren Mason Highway
"Charter Foods North, Llc",,Charter,10,KFC,1,No,NH,MA | NH,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Charter Foods North, Llc KFC franchisee NH",,,,,423/587-0690,820 Southbridge St.
"Palo Alto, Inc.",,Palo,10,KFC | Pizza Hut,2,Yes,NM,NM,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Palo Alto, Inc. KFC franchisee NM",,,,,303/745-0555,"12921 Central Avenue, N.E."
Darian L Mellon,,Darian,10,McDonald's,1,No,AZ,AZ,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Darian L Mellon McDonald's franchisee AZ,,,,,623-935-2823,13055 W RANCHO SANTE FE (WM #2554)
Earnest L Adair,,Earnest,10,McDonald's,1,No,AZ,AZ,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Earnest L Adair McDonald's franchisee AZ,,,,,480-857-8711,3185 S ALMA SCHOOL
Kerri Harper Howie,,Kerri,10,McDonald's,1,No,CA,CA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Kerri Harper Howie McDonald's franchisee CA,,,,,310-885-5500,17455 S CENTRAL AVE
Jordan Ruiz,,Jordan,10,McDonald's,1,No,CA,CA | NV,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Jordan Ruiz McDonald's franchisee CA,,,,,530-895-9900,655 PALMETTO AVE
Leslie Mannes,,Leslie,10,McDonald's,1,No,CA,CA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Leslie Mannes McDonald's franchisee CA,,,,,619-447-9595,281 N 2ND ST
Jay Hazari,,Jay,10,McDonald's,1,No,CA,CA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Jay Hazari McDonald's franchisee CA,,,,,209-938-6315,1960 MCHENRY AVE
Conrad J Freeman,Conrad Freeman / Conrad J Freeman,Conrad,10,McDonald's,1,No,CA,CA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Conrad J Freeman McDonald's franchisee CA,,,,,650-321-1813,1100 EL CAMINO REAL
Robert D Humason,,Robert,10,McDonald's,1,No,NV,CA | NV,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Robert D Humason McDonald's franchisee NV,,,,,530-542-0555,1035 EMERALD BAY RD
Jason Thompson,,Jason,10,McDonald's,1,No,CO,CO,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Jason Thompson McDonald's franchisee CO,,,,,719-538-0075,2705 JANITELL RD
Michael Brett Bronson,,Michael,10,McDonald's,1,No,NM,CO | NM,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Michael Brett Bronson McDonald's franchisee NM,,,,,970-565-6004,1322 E MAIN ST
Rachel Prado Millan,,Rachel,10,McDonald's,1,No,FL,FL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Rachel Prado Millan McDonald's franchisee FL,,,,,352-568-0005,2195 W C 48
Edgard Gerena,,Edgard,10,McDonald's,1,No,FL,FL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Edgard Gerena McDonald's franchisee FL,,,,,904-389-8712,5451 ROOSEVELT BLVD
Richard B Hoff,,Richard,10,McDonald's,1,No,GA,GA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Richard B Hoff McDonald's franchisee GA,,,,,678-574-0942,5145 COWAN RD
Andrew Vander Veur,,Andrew,10,McDonald's,1,No,GA,GA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Andrew Vander Veur McDonald's franchisee GA,,,,,404-257-9440,4362 ROSWELL RD NE
Bruce P Vineyard,,Bruce,10,McDonald's,1,No,GA,GA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Bruce P Vineyard McDonald's franchisee GA,,,,,770-483-0564,1320 KLONDIKE RD
Nathan Pappas,,Nathan,10,McDonald's,1,No,IL,IL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Nathan Pappas McDonald's franchisee IL,,,,,309-697-9594,1205 W GARFIELD
Mikel A Petro,,Mikel,10,McDonald's,1,No,IL,IL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Mikel A Petro McDonald's franchisee IL,,,,,309-829-8613,525 BROCK DR
Jessica E Lucas,,Jessica,10,McDonald's,1,No,MO,IL | MO,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Jessica E Lucas McDonald's franchisee MO,,,,,618-826-2895,2208 STATE ST
Robert H Terhune,,Robert,10,McDonald's,1,No,IN,IN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Robert H Terhune McDonald's franchisee IN,,,,,765-789-8276,1080 W WALNUT
Victor M Rivera,,Victor,10,McDonald's,1,No,IN,IN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Victor M Rivera McDonald's franchisee IN,,,,,317-844-4166,15101 THATCHER LANE
Vijay Selhi,,Vijay,10,McDonald's,1,No,MA,MA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Vijay Selhi McDonald's franchisee MA,,,,,617-562-1313,1223 COMMONWEALTH AVE
Danitra Bell,,Danitra,10,McDonald's,1,No,MD,MD,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Danitra Bell McDonald's franchisee MD,,,,,410-484-6261,502 REISTERSTOWN RD
Michael J Mlinarcik,Michael J Mlinarcik / Michael Mlinarcik,Michael,10,McDonald's,1,No,MI,MI,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Michael J Mlinarcik McDonald's franchisee MI,,,,,810-798-2124,894 N VAN DYKE
Michael R Rodewald,,Michael,10,McDonald's,1,No,MI,MI,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Michael R Rodewald McDonald's franchisee MI,,,,,231-796-3655,1020 S STATE ST
Anthony J D'Anna,,Anthony,10,McDonald's,1,No,MI,MI,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Anthony J D'Anna McDonald's franchisee MI,,,,,989-624-5144,8715 MAIN ST
Heather R Everson,,Heather,10,McDonald's,1,No,MI,MI,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Heather R Everson McDonald's franchisee MI,,,,,517-669-1170,13230 S US 27
Timothy J Genck,,Timothy,10,McDonald's,1,No,MN,MN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Timothy J Genck McDonald's franchisee MN,,,,,763-323-4727,13731 ROUND LAKE BLVD
Rick Clerc,,Rick,10,McDonald's,1,No,MN,MN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Rick Clerc McDonald's franchisee MN,,,,,507-432-1580,1202 BUCCANEER DR
Mike Darula,,Mike,10,McDonald's,1,No,MN,MN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Mike Darula McDonald's franchisee MN,,,,,651-257-2200,29575 SPORTSMAN DR
Andrew Ruprecht,,Andrew,10,McDonald's,1,No,MO,MO,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Andrew Ruprecht McDonald's franchisee MO,,,,,417-334-1490,515 W MAIN
Ryan C Ruprecht,,Ryan,10,McDonald's,1,No,MO,MO,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Ryan C Ruprecht McDonald's franchisee MO,,,,,573-443-7785,205 BUSINESS LOOP
Robert Mignosi,,Robert,10,McDonald's,1,No,MS,MS,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Robert Mignosi McDonald's franchisee MS,,,,,662-563-8693,302 HWY 6 E
John Newbury,,John,10,McDonald's,1,No,MT,MT,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,John Newbury McDonald's franchisee MT,,,,,406-245-6939,1046 GRAND AVE
William H Purcell,,William,10,McDonald's,1,No,NC,NC,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,William H Purcell McDonald's franchisee NC,,,,,252-726-3443,301 W FORT MACON BLVD
Dennis Anderson,,Dennis,10,McDonald's,1,No,NC,NC,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Dennis Anderson McDonald's franchisee NC,,,,,910-458-5918,220 LAKE PARK BLVD
Charles T Coughlin,,Charles,10,McDonald's,1,No,VT,NH | VT,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Charles T Coughlin McDonald's franchisee VT,,,,,603-543-1577,231 WASHINGTON ST
Herbert J Thomas,Herbert J Thomas / Herbert Thomas,Herbert,10,McDonald's,1,No,NY,NJ | NY,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Herbert J Thomas McDonald's franchisee NY,,,,,973-316-6115,568 MYRTLE AVE
Angela Adderley,,Angela,10,McDonald's,1,No,NJ,NJ,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Angela Adderley McDonald's franchisee NJ,,,,,908-595-1381,944 RT 202 S
Michael E Clark,,Michael,10,McDonald's,1,No,NJ,NJ | PA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Michael E Clark McDonald's franchisee NJ,,,,,609-877-8142,4299 US SOUTH ROUTE 130
Julio Morgan Gillis,,Julio,10,McDonald's,1,No,NY,NJ | NY,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Julio Morgan Gillis McDonald's franchisee NY,,,,,201-487-1347,343 RIVER ST
Thomas A Mckennie,,Thomas,10,McDonald's,1,No,NV,NV,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Thomas A Mckennie McDonald's franchisee NV,,,,,775-853-2322,18200 WEDGE PKWY
Dean W Colley,,Dean,10,McDonald's,1,No,NY,NY,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Dean W Colley McDonald's franchisee NY,,,,,845-825-0962,254 RT 9 W
Jessica Hall,,Jessica,10,McDonald's,1,No,OH,OH,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Jessica Hall McDonald's franchisee OH,,,,,419-634-9540,132 SOUTH MAIN STREET
Leigh Chamness,,Leigh,10,McDonald's,1,No,OH,OH,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Leigh Chamness McDonald's franchisee OH,,,,,513-734-3466,625 W PLANE ST
Michael J P Telich,,Michael,10,McDonald's,1,No,OH,OH,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Michael J P Telich McDonald's franchisee OH,,,,,614-459-0542,1905 W HENDERSON RD
Tamer H Metawa,,Tamer,10,McDonald's,1,No,OH,OH,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Tamer H Metawa McDonald's franchisee OH,,,,,419-866-0675,6555 AIRPORT HWY
Debra Orlando,,Debra,10,McDonald's,1,No,PA,PA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Debra Orlando McDonald's franchisee PA,,,,,814-756-3864,10541 ROUTE 6N
Robert T Hughes,,Robert,10,McDonald's,1,No,PA,PA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Robert T Hughes McDonald's franchisee PA,,,,,610-439-0511,721 CEDAR CREST BLVD
Steven M Delamater,,Steven,10,McDonald's,1,No,PA,PA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Steven M Delamater McDonald's franchisee PA,,,,,814-624-0789,4363 BUSINESS 220
Robert C Valdes,,Robert,10,McDonald's,1,No,SC,SC,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Robert C Valdes McDonald's franchisee SC,,,,,843-264-9307,411 US HIGHWAY 521
Astrid B Delgado Lyon,,Astrid,10,McDonald's,1,No,TN,TN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Astrid B Delgado Lyon McDonald's franchisee TN,,,,,615-377-4622,109 E PARK DR
Matthew Kades,,Matthew,10,McDonald's,1,No,TX,TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Matthew Kades McDonald's franchisee TX,,,,,281-427-3851,310 N ALEXANDER DR
Jeanie T Smith,,Jeanie,10,McDonald's,1,No,TX,TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Jeanie T Smith McDonald's franchisee TX,,,,,979-822-3011,825 EAST VILLA MARIA ROAD
Danielle M Marasco,,Danielle,10,McDonald's,1,No,TX,TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Danielle M Marasco McDonald's franchisee TX,,,,,956-723-0201,4717 SAN BERNARDO
Leslie Lynne Wheeler,,Leslie,10,McDonald's,1,No,VA,VA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Leslie Lynne Wheeler McDonald's franchisee VA,,,,,757-420-8296,1374 S MILITARY HWY
Jennifer Smith,,Jennifer,10,McDonald's,1,No,VA,VA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Jennifer Smith McDonald's franchisee VA,,,,,757-723-7448,1534 E PEMBROKE AVE
Denny Liu,,Denny,10,McDonald's,1,No,WA,WA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Denny Liu McDonald's franchisee WA,,,,,360-533-6616,1101 E WISHKAH ST
David E Schanock,,David,10,McDonald's,1,No,WI,WI,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,David E Schanock McDonald's franchisee WI,,,,,920-494-4472,1587 SHAWANO AVE
"Heartland Pizza, L.L.C.",,Heartland,10,Pizza Hut,1,No,AR,AR,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Heartland Pizza, L.L.C. Pizza Hut franchisee AR",,,,,870/793-5779,3115 Harrison St
"Atherton Restaurant Systems, Inc.",,Atherton,10,Pizza Hut,1,No,AR,AR | MO,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Atherton Restaurant Systems, Inc. Pizza Hut franchisee AR",,,,,870/423-2188,912 W Trimble Ave
"Arc Restaurants, L.L.C.",,Arc,10,Pizza Hut,1,No,PA,PA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Arc Restaurants, L.L.C. Pizza Hut franchisee PA",,,,,814/355-5160,372 Phoenix Ave
"Jem Pizza Group Three, Llc","Jem Pizza Group Three, Llc / Jem Pizza Group, Llc / Jem Pizza Ii, Llc",Jem,10,Pizza Hut,1,No,SC,SC,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Jem Pizza Group Three, Llc Pizza Hut franchisee SC",,,,,843/735-6500,"2457 Ashley River Rd., Ste. 1"
Northwest Petroleum. Lp,,Northwest,10,Pizza Hut,1,No,TX,TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Northwest Petroleum. Lp Pizza Hut franchisee TX,,,,,281 492-9555,8755 Interstate 10 Frontage Road
